directory,template,vsfiles,is_same,ASGard_completeness,generalization_completeness,ASGard_abstraction,generalization_abstraction,ASGard_variable_ratio,generalization_variable_ratio
java.io.BufferedReader,Template1,BufferedReader 18 vs 24,False,0.7828878018533191,0.9594233352854042,0.01818181818181818,0.0,0.014285714285714285,0.0
java.io.BufferedReader,Template2,BufferedReader 19 vs 22,False,0.23910756393977867,0.304574239511478,0.5531914893617021,0.3783783783783784,0.3353341985723556,0.18056456846203764
java.io.BufferedReader,Template3,BufferedReader 17 vs 23,False,0.8721312787032147,0.9620317475557263,0.012987012987012988,0.010869565217391304,0.010869565217391304,0.010869565217391304
java.io.BufferedReader,Template4,BufferedReader 20 vs 27,False,0.8174121144450213,0.9434335639966147,0.01694915254237288,0.013888888888888888,0.013888888888888888,0.013888888888888888
java.io.File,Template10,File 22 vs 11,True,0.8552727272727273,0.9985454545454545,0.0,0.0,0.0,0.0
java.io.File,Template11,File 63 vs 62,False,0.6162870945479642,0.9113181504485852,0.14285714285714285,0.0,0.13043478260869565,0.0
java.io.File,Template12,File 23 vs 12,True,0.8946135831381733,0.9976580796252927,0.0,0.0,0.0,0.0
java.io.File,Template13,File 58 vs 61,False,0.46649484536082475,0.678391959798995,0.35714285714285715,0.23529411764705882,0.29411764705882354,0.23529411764705882
java.io.File,Template14,File 39 vs 41,False,0.710978396166897,0.8908355795148248,0.0,0.07407407407407407,0.0,0.0754985754985755
java.io.File,Template15,File 48 vs 49,True,0.8277027027027027,0.9966216216216216,0.0,0.0,0.0,0.0
java.io.File,Template16,File 72 vs 65,False,0.5026724975704567,0.6796427650682515,0.12658227848101267,0.08653846153846154,0.08083441981747067,0.0727509778357236
java.io.File,Template17,File 40 vs 44,True,0.8396624472573839,0.9957805907172996,0.0,0.0,0.0,0.0
java.io.File,Template18,File 10 vs 21,True,0.8161616161616162,0.9986531986531987,0.0,0.0,0.0,0.0
java.io.File,Template1,File 8 vs 7,False,0.5709278688174417,0.7824663480151285,0.21153846153846154,0.05357142857142857,0.1765536723163842,0.04815100154083205
java.io.File,Template2,File 19 vs 30,True,0.8199708454810496,0.9985422740524781,0.0,0.0,0.0,0.0
java.io.File,Template3,File 15 vs 14,True,0.8380462724935733,0.9974293059125964,0.0,0.0,0.0,0.0
java.io.File,Template4,File 57 vs 60,False,0.5261682950844505,0.7804878048780488,0.25,0.13333333333333333,0.2,0.13333333333333333
java.io.File,Template5,File 7 vs 6,False,0.6306309920173292,0.8001778150723248,0.1568627450980392,0.05172413793103448,0.12576762466224514,0.04716285924834193
java.io.File,Template6,File 17 vs 28,True,0.8334749362786746,0.9983007646559049,0.0,0.0,0.0,0.0
java.io.File,Template7,File 29 vs 18,True,0.7536231884057971,0.9951690821256038,0.0,0.0,0.0,0.0
java.io.File,Template8,File 9 vs 20,True,0.8091259431976424,0.9977192081534838,0.0,0.0,0.0,0.0
java.io.File,Template9,File 56 vs 59,False,0.4886257533316357,0.7564102564102564,0.2857142857142857,0.125,0.25,0.125
java.io.InputStreamReader,Template1,InputStreamReader 9 vs 7,False,0.2521336624933874,0.3528598130841122,0.6111111111111112,0.4666666666666667,0.38386727688787187,0.24427917620137302
java.io.InputStreamReader,Template2,InputStreamReader 4 vs 3,False,0.28371537667441943,0.4144570249034124,0.2916666666666667,0.18421052631578946,0.08243881494203521,0.08243881494203521
java.io.InputStreamReader,Template4,InputStreamReader 11 vs 12,False,0.2194878626645535,0.3201848901898632,0.6666666666666666,0.3617021276595745,0.2854251012145749,0.24261133603238866
java.io.InputStream,Template1,InputStream 3 vs 4,False,0.5609322066897706,0.7815148264500805,0.15,0.04,0.09441489361702127,0.031471631205673756
java.io.InputStream,Template2,InputStream 12 vs 11,False,0.1940944650942038, 0.2213525029463681,0.5909090909090909, 0.4666666666666667,0.13591391268869848, 0.21955324357405143
java.io.IOException, Template10, IOException 30 vs 32, False, 0.5975821515956747, 0.7962965336888524,0.13793103448275862, 0.09375,0.10960960960960961, 0.0822072072072072
java.io.IOException, Template11, IOException 15 vs 10, False, 0.6194543587338309, 0.7958372158849262,0.125, 0.056074766355140186,0.07905384375972611, 0.047432306255835666
java.io.IOException, Template12, IOException 9 vs 6, False, 0.8321479374110953, 0.9743055555555555,0.0, 0.014184397163120567,0.0, 0.014388489208633094
java.io.IOException, Template1, IOException 22 vs 21, False, 0.35372371898544436, 0.5559808244765745,0.2903225806451613, 0.2,0.2764227642276423, 0.15356820234869015
java.io.IOException, Template2, IOException 19 vs 17, True, 0.7472118959107807, 0.9962825278810409,0.0, 0.0,0.0, 0.0
java.io.IOException, Template3, IOException 41 vs 44, False, 0.44582814445828145, 0.7103729603729603,0.5, 0.19672131147540983,0.400379057095475, 0.18479033404406536
java.io.IOException, Template4, IOException 18 vs 20, True, 0.8293918918918919, 0.9983108108108109,0.0, 0.0,0.0, 0.0
java.io.IOException, Template5, IOException 36 vs 35, False, 0.6235620363409411, 0.7632053938727499,0.13333333333333333, 0.0851063829787234,0.12182116488925349, 0.08121410992616898
java.io.IOException, Template6, IOException 8 vs 7, True, 0.8192457737321196, 0.9986996098829649,0.0, 0.0,0.0, 0.0
java.io.IOException, Template7, IOException 31 vs 29, False, 0.6472102354455296, 0.8407134071340714,0.10714285714285714, 0.07462686567164178,0.08333333333333333, 0.06944444444444445
java.io.IOException, Template8, IOException 27 vs 26, True, 0.696652719665272, 0.9142259414225942,0.0, 0.0,0.0, 0.0
java.io.IOException, Template9, IOException 4 vs 5, False, 0.6351676844043811, 0.7625908694387904,0.14516129032258066, 0.03389830508474576,0.1231527093596059, 0.02736726874657909
java.io.OutputStreamWriter, Template1, OutputStreamWriter 4 vs 3, False, 0.7252530451192314, 0.9876603423889188,0.05263157894736842, 0.0,0.047619047619047616, 0.0
java.io.OutputStreamWriter, Template2, OutputStreamWriter 2 vs 8, False, 0.7190509748649283, 0.8842443729903537,0.07692307692307693, 0.06666666666666667,0.06666666666666667, 0.06666666666666667
java.io.PrintStream, Template2, PrintStream 2 vs 4, False, 0.4868431550651168, 0.8785099683100004,0.05970149253731343, 0.015384615384615385,0.030687830687830688, 0.015343915343915344
java.io.PrintWriter, Template1, PrintWriter 12 vs 5, False, 0.7316081071603899, 0.8799342105263157,0.07692307692307693, 0.06666666666666667,0.06666666666666667, 0.06666666666666667
java.io.PrintWriter, Template2, PrintWriter 6 vs 10, False, 0.7442438513867086, 0.9846546310832025,0.05263157894736842, 0.0,0.047619047619047616, 0.0
java.io.PrintWriter, Template3, PrintWriter 1 vs 4, False, 0.789399293286219, 0.9456740442655935,0.0, 0.022099447513812154,0.0, 0.022988505747126436
java.lang.Exception, Template1, Exception 6 vs 7, False, 0.48136981278138813, 0.6220343471794976,0.2037037037037037, 0.16326530612244897,0.14312602291325696, 0.10409165302782325
java.lang.Exception, Template2, Exception 4 vs 20, False, 0.769392871662827, 0.9592050209205021,0.03125, 0.023255813953488372,0.023255813953488372, 0.023255813953488372
java.lang.Exception, Template3, Exception 22 vs 19, False, 0.5640809264298742, 0.7764112571526183,0.14754098360655737, 0.0410958904109589,0.10900335619436743, 0.03633445206478914
java.lang.Exception, Template4, Exception 2 vs 5, False, 0.49761092932937834, 0.6141712035135327,0.14285714285714285, 0.15,0.09858630952380952, 0.11830357142857142
java.lang.Exception, Template5, Exception 14 vs 13, False, 0.7386363636363636, 0.8623548922056384,0.09836065573770492, 0.05970149253731343,0.08893280632411067, 0.05928853754940712
java.lang.Exception, Template6, Exception 25 vs 24, False, 0.5486643932935493, 0.9049295774647887,0.0, 0.02127659574468085,0.0, 0.022474747474747474
java.lang.Exception, Template7, Exception 9 vs 10, False, 0.622077922077922, 0.8727272727272728,0.037037037037037035, 0.0,0.023255813953488372, 0.0
java.net.HttpURLConnection, Template10, HttpURLConnection 17 vs 4, False, 0.8551659221790096, 0.9653666749337046,0.010869565217391304, 0.009708737864077669,0.009708737864077669, 0.009708737864077669
java.net.HttpURLConnection, Template11, HttpURLConnection 14 vs 13, False, 0.8680128635173172, 0.9634682156366065,0.012987012987012988, 0.010869565217391304,0.010869565217391304, 0.010869565217391304
java.net.HttpURLConnection, Template1, HttpURLConnection 21 vs 19, False, 0.6506413022684705, 0.855686873890405,0.09259259259259259, 0.041379310344827586,0.06563988159080184, 0.039383928954481104
java.net.HttpURLConnection, Template2, HttpURLConnection 23 vs 26, False, 0.328921568627451, 0.32960942308768393,0.4642857142857143, 0.4,0.3183408295852074, 0.2938530734632684
java.net.HttpURLConnection, Template3, HttpURLConnection 10 vs 9, False, 0.7001609616237614, 0.8315531272435169,0.12, 0.04395604395604396,0.09782608695652174, 0.043478260869565216
java.net.HttpURLConnection, Template4, HttpURLConnection 27 vs 28, False, 0.688649177392924, 0.8856445804128104,0.09615384615384616, 0.05084745762711865,0.0847457627118644, 0.05084745762711865
java.net.HttpURLConnection, Template5, HttpURLConnection 1 vs 2, True, 0.8163620539599652, 0.999129677980853,0.0, 0.0,0.0, 0.0
java.net.HttpURLConnection, Template6, HttpURLConnection 22 vs 24, False, 0.4795648893360161, 0.7018578776209463,0.2553191489361702, 0.05309734513274336,0.18207942985229036, 0.04551985746307259
java.net.HttpURLConnection, Template7, HttpURLConnection 6 vs 16, False, 0.8684055412888467, 0.9630116101981125,0.012987012987012988, 0.010869565217391304,0.010869565217391304, 0.010869565217391304
java.net.HttpURLConnection, Template8, HttpURLConnection 12 vs 29, False, 0.8114984698692114, 0.9423303847815926,0.01694915254237288, 0.013888888888888888,0.013888888888888888, 0.013888888888888888
java.net.HttpURLConnection, Template9, HttpURLConnection 15 vs 5, False, 0.8684055412888467, 0.9625687404018326,0.012987012987012988, 0.010869565217391304,0.010869565217391304, 0.010869565217391304
java.net.URI, Template1, URI 9 vs 10, True, 0.7452043369474561, 0.9403669724770642,0.0, 0.0,0.0, 0.0
java.net.URI, Template2, URI 11 vs 15, False, 0.7808594821169742, 0.926623427365789,0.0, 0.02631578947368421,0.0, 0.02631578947368421
java.net.URI, Template3, URI 12 vs 16, False, 0.5574943757030372, 0.7696787097754261,0.16494845360824742, 0.09243697478991597,0.12672176308539945, 0.08712121212121213
java.net.URI, Template4, URI 3 vs 5, False, 0.5353530826573447, 0.6911274805433503,0.25925925925925924, 0.14705882352941177,0.18433818433818433, 0.13167013167013167
