name,time
java.io.BufferedReader/Template1,684
java.io.BufferedReader/Template2,721
java.io.BufferedReader/Template3,789
java.io.BufferedReader/Template4,820
java.io.File/Template10,1111
java.io.File/Template11,856
java.io.File/Template12,692
java.io.File/Template13,648
java.io.File/Template14,670
java.io.File/Template15,657
java.io.File/Template16,851
java.io.File/Template17,716
java.io.File/Template18,771
java.io.File/Template1,676
java.io.File/Template2,769
java.io.File/Template3,657
java.io.File/Template4,639
java.io.File/Template5,635
java.io.File/Template6,752
java.io.File/Template7,650
java.io.File/Template8,713
java.io.File/Template9,660
java.io.InputStreamReader/Template1,677
java.io.InputStreamReader/Template2,818
java.io.InputStreamReader/Template3,864
java.io.InputStreamReader/Template4,812
java.io.InputStream/Template1,726
java.io.InputStream/Template2,815
java.io.IOException/Template10,677
java.io.IOException/Template11,839
java.io.IOException/Template12,772
java.io.IOException/Template1,747
java.io.IOException/Template2,651
java.io.IOException/Template3,774
java.io.IOException/Template4,820
java.io.IOException/Template5,750
java.io.IOException/Template6,740
java.io.IOException/Template7,767
java.io.IOException/Template8,846
java.io.IOException/Template9,822
java.io.OutputStreamWriter/Template1,755
java.io.OutputStreamWriter/Template2,745
java.io.PrintStream/Template1,714
java.io.PrintStream/Template2,738
java.io.PrintWriter/Template1,702
java.io.PrintWriter/Template2,687
java.io.PrintWriter/Template3,816
java.lang.Exception/Template1,830
java.lang.Exception/Template2,815
java.lang.Exception/Template3,756
java.lang.Exception/Template4,764
java.lang.Exception/Template5,738
java.lang.Exception/Template6,701
java.lang.Exception/Template7,776
java.net.HttpURLConnection/Template10,732
java.net.HttpURLConnection/Template11,693
java.net.HttpURLConnection/Template1,747
java.net.HttpURLConnection/Template2,683
java.net.HttpURLConnection/Template3,782
java.net.HttpURLConnection/Template4,680
java.net.HttpURLConnection/Template5,808
java.net.HttpURLConnection/Template6,802
java.net.HttpURLConnection/Template7,764
java.net.HttpURLConnection/Template8,711
java.net.HttpURLConnection/Template9,768
java.net.URI/Template1,847
java.net.URI/Template2,694
java.net.URI/Template3,838
java.net.URI/Template4,725
java.net.URI/Template5,697
java.net.URI/Template6,740
java.net.URL/Template1,675
java.net.URL/Template2,748
java.net.URL/Template3,661
java.net.URL/Template4,706
java.sql.SQLException/Template1,674
java.sql.SQLException/Template2,724
java.sql.SQLException/Template3,735
java.sql.Statement/Template1,799
java.sql.Statement/Template2,683
java.sql.Statement/Template3,670
java.sql.Statement/Template4,759
java.util.Arrays/Template1,721
java.util.Arrays/Template2,683
java.util.Arrays/Template3,746
java.util.Arrays/Template4,719
java.util.Arrays/Template5,676
java.util.Arrays/Template6,701
java.util.Arrays/Template7,682
java.util.Collections/Template10,701
java.util.Collections/Template11,618
java.util.Collections/Template1,745
java.util.Collections/Template2,636
java.util.Collections/Template3,702
java.util.Collections/Template4,676
java.util.Collections/Template5,642
java.util.Collections/Template6,663
java.util.Collections/Template7,766
java.util.Collections/Template8,727
java.util.Collections/Template9,675
java.util.Collection/Template10,677
java.util.Collection/Template11,661
