library,version,time,g1_nodes,g2_nodes,g1_edges,g2_edges,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,metrics,diff_tool
Joda Time,2.0-main vs 2.10-main,72,211,227,1645,1745,211,1609,11,134,14040,7641
Joda Time,2.0 vs 2.10,86,410,432,3626,3782,409,3576,19,217,16020,8878
JUnit,4.13 vs 5,8855,1171,2248,5529,2459,33,0,20,79,13706,
JUnit,4.12 vs 4.13,397,948,1171,4397,5529,915,4057,67,787,5986,
JUnit,4.12 vs 5,5608,948,2248,4397,2459,26,0,14,58,13780,
Log4j,v1 vs v2,1220,377,2089,142,887,123,33,30,79,39770,
Tomcat,v8.5 vs v9.0,461,2234,2331,11648,12218,2202,11391,64,710,38002,19230
JoboonjaSpring,v1 vs v2,62,56,99,97,166,11,9,8,36,1387,
Jaboonja,v1 vs v2,79,79,63,101,148,11,4,11,32,1453,
Log4j vs Logback,,1274,1072,170,2644,413,29,10,18,89,28275,
Eclipse Dom,3.12 vs 3.27,74,161,182,2261,2554,161,2261,8,121,61742,41445
Eclipse Dom,3.12 vs 3.8,70,161,148,2261,2011,148,2010,8,140,56482,33361
Eclipse Dom,3.27 vs 3.8,98,182,148,2554,2011,148,2010,16,26154982,38292
