name,template,time0,time1,time2,time3,time4,avg_time,std_dev,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges
advantageous_qbit,1,645,624,619,692,653,646.6,25.989228537992425,63,62,1,1,64,63,64,63
alibaba_ARouter,1,634,648,650,657,648,647.4,7.472616676907761,53,52,3,3,66,65,57,56
alkacon_opencms-core,1,642,728,633,653,632,657.6,36.00333317902663,56,55,4,4,60,59,60,59
Asana_java-asana,1,644,659,752,683,682,684.0,37.02431633399866,78,77,5,5,83,82,83,82
aws_aws-sdk-java,1000,616,634,631,649,639,633.8,10.796295661012623,51,50,4,4,55,54,55,54
aws_aws-sdk-java,1001,703,758,672,703,647,696.6,37.19462326734874,95,94,8,8,103,102,103,102
aws_aws-sdk-java,1002,662,627,630,638,636,638.6,12.3547561691844,53,52,2,2,55,54,55,54
aws_aws-sdk-java,1003,736,709,646,655,660,681.2,35.0736368231183,120,119,5,5,147,146,124,123
aws_aws-sdk-java,1004,662,684,679,699,671,679.0,12.47397290361014,139,138,8,8,147,146,147,146
aws_aws-sdk-java,1005,672,649,679,670,640,662.0,14.872793954062566,135,134,6,6,147,146,147,146
aws_aws-sdk-java,1006,691,678,679,662,661,674.2,11.338430226446693,135,134,6,6,147,146,147,146
aws_aws-sdk-java,1007,626,634,658,638,710,653.2,30.294553966018377,51,50,4,4,55,54,55,54
aws_aws-sdk-java,1008,612,632,613,614,622,618.6,7.578918128598565,51,50,4,4,55,54,55,54
aws_aws-sdk-java,1009,654,660,706,661,651,666.4,20.14547095503106,95,94,3,3,147,146,124,123
aws_aws-sdk-java,100,635,630,659,651,637,642.4,10.836973747315252,52,51,3,3,55,54,55,54
aws_aws-sdk-java,1010,663,648,663,634,661,653.8,11.373653766490344,119,118,5,5,124,123,124,123
aws_aws-sdk-java,1011,668,685,699,668,665,677.0,13.069047402163633,118,117,7,7,170,169,193,192
aws_aws-sdk-java,1012,641,679,660,676,655,662.2,13.99142594591416,119,118,5,5,124,123,124,123
aws_aws-sdk-java,1013,659,694,706,682,679,684.0,15.735310610216755,162,161,8,8,170,169,170,169
aws_aws-sdk-java,1014,721,655,653,651,669,669.8,26.369679558159213,123,122,2,2,147,146,124,123
aws_aws-sdk-java,1015,626,661,616,627,630,632.0,15.244671200127604,50,49,4,4,55,54,55,54
aws_aws-sdk-java,1016,687,664,678,677,676,676.4,7.337574531137656,160,157,10,14,170,169,170,169
aws_aws-sdk-java,1017,678,682,754,678,710,700.4,29.35029812455063,123,122,2,2,147,146,170,169
aws_aws-sdk-java,1018,657,655,699,669,663,668.6,15.969971822141705,162,159,8,12,170,169,170,169
aws_aws-sdk-java,1019,664,646,671,681,661,664.6,11.568923891183655,119,118,5,5,124,123,124,123
aws_aws-sdk-java,101,668,662,685,669,660,668.8,8.795453370918409,119,117,7,9,147,146,124,123
aws_aws-sdk-java,1020,662,654,655,653,670,658.8,6.43117407632541,95,94,3,3,170,169,147,146
aws_aws-sdk-java,1021,654,667,672,676,716,677.0,20.861447696648476,138,137,9,9,147,146,147,146
aws_aws-sdk-java,1022,641,665,706,699,674,677.0,23.55419283269966,140,138,9,11,147,146,170,169
aws_aws-sdk-java,1023,627,637,624,666,629,636.6,15.317963311093287,51,50,4,4,55,54,55,54
aws_aws-sdk-java,1024,666,670,666,669,690,672.2,9.042123644365853,157,154,10,14,170,169,170,169
aws_aws-sdk-java,1025,675,675,670,663,701,676.8,12.874781551544865,140,137,7,11,147,146,147,146
aws_aws-sdk-java,1026,645,668,669,649,667,659.6,10.384603988597735,119,118,6,6,147,146,124,123
aws_aws-sdk-java,1027,660,671,693,677,659,672.0,12.489995996796797,135,134,6,6,147,146,147,146
aws_aws-sdk-java,1028,619,626,621,638,615,623.8,7.934733769950949,51,50,4,4,55,54,55,54
aws_aws-sdk-java,1029,675,652,672,673,658,666.0,9.23038460737146,86,85,10,10,103,102,99,98
aws_aws-sdk-java,102,650,675,645,692,625,657.4,23.51680250374187,134,133,7,7,147,146,147,146
aws_aws-sdk-java,1030,686,653,689,675,667,674.0,13.114877048604,86,85,10,10,103,102,99,98
