name,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges,time
0, 35, 35, 11, 22, 72, 32, 171, 75, 136
1, 59, 59, 18, 38, 131, 59, 124, 55, 210
10, 80, 80, 22, 36, 137, 64, 229, 105, 422
1000, 67, 67, 17, 39, 116, 55, 151, 68, 198
1001, 42, 42, 13, 23, 230, 106, 109, 46, 458
1002, 27, 27, 8, 12, 112, 48, 146, 66, 157
1003, 105, 105, 35, 67, 329, 144, 267, 125, 3867
1004, 83, 83, 25, 79, 181, 80, 144, 65, 380
1006, 37, 37, 10, 15, 122, 55, 121, 55, 144
1007, 41, 41, 9, 18, 107, 48, 111, 49, 124
1008, 59, 59, 16, 54, 162, 75, 103, 45, 145
1009, 104, 104, 11, 17, 124, 55, 178, 80, 180
1010, 70, 70, 23, 37, 185, 83, 124, 56, 362
1011, 66, 66, 22, 44, 209, 96, 238, 108, 1330
1012, 59, 59, 19, 30, 105, 44, 176, 80, 226
1013, 160, 160, 54, 121, 292, 125, 456, 205, 5280
1014, 159, 159, 51, 113, 391, 173, 528, 244, 7924
1015, 49, 49, 15, 23, 84, 34, 168, 75, 215
1016, 35, 35, 10, 12, 104, 43, 126, 55, 118
1017, 95, 95, 19, 65, 305, 130, 191, 85, 1559
1018, 81, 81, 24, 38, 222, 101, 180, 81, 752
1019, 53, 53, 20, 42, 236, 102, 230, 106, 1013
102, 108, 108, 34, 95, 291, 131, 310, 135, 2409
1020, 49, 49, 13, 29, 148, 65, 106, 47, 154
1021, 47, 47, 16, 44, 228, 104, 208, 92, 973
1022, 72, 72, 20, 50, 188, 85, 172, 79, 416
1023, 185, 185, 63, 120, 375, 172, 512, 236, 10654
1025, 51, 51, 16, 25, 123, 55, 171, 76, 241
1026, 85, 85, 26, 52, 213, 95, 294, 126, 1503
1027, 58, 58, 13, 53, 105, 44, 151, 69, 287
1028, 45, 45, 16, 36, 157, 71, 151, 70, 356
1029, 54, 54, 20, 32, 198, 89, 145, 68, 424
103, 55, 55, 17, 38, 119, 56, 125, 58, 128
1030, 59, 59, 18, 39, 185, 86, 122, 53, 247
1031, 48, 48, 13, 17, 135, 60, 136, 60, 198
1032, 54, 54, 16, 26, 107, 44, 86, 37, 70
1033, 56, 56, 20, 27, 180, 78, 183, 77, 504
1034, 68, 68, 17, 23, 122, 56, 127, 60, 146
1035, 98, 98, 25, 41, 168, 74, 228, 100, 804
1036, 31, 31, 9, 13, 242, 106, 62, 26, 303
1037, 90, 90, 26, 83, 189, 82, 193, 85, 677
1038, 54, 54, 10, 61, 221, 99, 210, 92, 1608
1039, 113, 113, 45, 84, 363, 161, 214, 99, 1319
104, 65, 65, 13, 21, 111, 50, 164, 74, 147
1040, 52, 52, 11, 19, 95, 42, 79, 37, 57
1041, 60, 60, 11, 21, 209, 89, 133, 62, 305
1042, 171, 171, 7, 7, 178, 80, 178, 80, 260
1043, 59, 59, 15, 29, 221, 98, 124, 55, 322
1044, 35, 35, 12, 20, 136, 60, 122, 56, 199
1045, 59, 59, 11, 24, 130, 58, 85, 38, 76
1046, 67, 67, 25, 45, 141, 62, 186, 84, 401
1047, 67, 67, 18, 38, 256, 118, 129, 56, 443
1048, 33, 33, 8, 29, 153, 69, 148, 68, 273
1049, 64, 64, 16, 30, 125, 55, 164, 72, 153
105, 75, 75, 19, 31, 177, 81, 104, 49, 240
1050, 61, 61, 18, 34, 114, 53, 127, 58, 129
1051, 63, 63, 20, 36, 102, 42, 186, 83, 204
1052, 53, 53, 17, 23, 135, 62, 166, 75, 440
1053, 57, 57, 16, 33, 96, 45, 118, 54, 117
1054, 81, 81, 24, 53, 142, 66, 234, 107, 475
1055, 76, 76, 16, 34, 124, 57, 110, 49, 93
1056, 29, 29, 11, 18, 93, 42, 91, 40, 63
1057, 70, 70, 17, 41, 129, 55, 170, 77, 266
1058, 46, 46, 16, 31, 183, 81, 149, 68, 482
106, 55, 55, 15, 32, 142, 66, 183, 83, 324
1060, 109, 109, 26, 54, 250, 112, 178, 80, 706
1061, 55, 55, 13, 23, 233, 109, 176, 76, 700
1062, 67, 67, 20, 50, 174, 79, 111, 47, 180
1063, 65, 65, 13, 21, 86, 38, 149, 69, 117
1064, 40, 40, 13, 21, 134, 60, 98, 41, 169
1065, 94, 94, 25, 43, 170, 77, 194, 88, 489
1066, 61, 61, 15, 36, 136, 60, 107, 49, 207
1067, 52, 52, 17, 37, 117, 54, 218, 97, 454
1068, 106, 106, 30, 66, 250, 112, 275, 125, 2605
1069, 160, 160, 52, 114, 347, 158, 437, 197, 6388
107, 83, 83, 29, 64, 167, 76, 216, 98, 448
1070, 43, 43, 14, 36, 113, 51, 100, 43, 113
1072, 75, 75, 19, 43, 216, 98, 324, 146, 1812
