name,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges,time
java.io.BufferedReader/Template1,242,242,0,0,242,111,242,111,1015
java.io.BufferedReader/Template2,139,139,31,59,227,104,295,136,1415
java.io.BufferedReader/Template3,294,294,1,1,295,136,295,136,1844
java.io.BufferedReader/Template4,239,239,1,1,240,111,240,111,860
java.io.File/Template1,144,144,5,7,158,74,179,84,386
java.io.File/Template10,529,529,2,44,530,237,530,237,19310
java.io.File/Template11,78,78,0,0,78,35,78,35,32
java.io.File/Template12,240,240,0,0,240,107,240,107,944
java.io.File/Template13,56,56,4,4,60,29,60,29,18
java.io.File/Template14,110,110,2,2,113,48,111,47,102
java.io.File/Template15,98,98,0,0,98,41,98,41,54
java.io.File/Template16,306,306,7,15,349,159,311,142,3327
java.io.File/Template17,75,75,0,0,75,35,75,35,36
java.io.File/Template18,513,513,0,0,513,231,513,231,16302
java.io.File/Template2,400,400,0,0,400,175,400,175,5247
java.io.File/Template3,127,127,0,0,127,59,127,59,115
java.io.File/Template4,51,51,2,2,53,26,53,26,13
java.io.File/Template5,152,152,5,7,158,74,187,88,409
java.io.File/Template6,339,339,0,0,339,151,339,151,2686
java.io.File/Template7,193,193,0,6,193,87,193,87,520
java.io.File/Template8,196,196,0,0,196,83,196,83,482
java.io.File/Template9,51,51,2,2,53,24,53,24,12
java.io.IOException/Template1,73,73,6,10,89,40,151,70,117
java.io.IOException/Template10,117,117,4,4,122,55,126,57,148
java.io.IOException/Template11,321,321,9,13,338,152,416,187,5095
java.io.IOException/Template12,507,507,0,0,507,230,507,230,11945
java.io.IOException/Template2,86,86,0,0,86,39,86,39,28
java.io.IOException/Template3,198,198,16,32,234,107,217,99,923
java.io.IOException/Template4,339,339,0,0,339,151,339,151,2386
java.io.IOException/Template5,130,130,4,4,155,72,134,62,191
java.io.IOException/Template6,266,266,0,0,266,123,266,123,1309
java.io.IOException/Template7,250,249,5,5,257,117,257,117,1263
java.io.IOException/Template8,241,241,0,0,241,113,241,113,840
java.io.IOException/Template9,206,206,5,13,293,132,213,97,796
java.io.InputStream/Template1,82,82,1,1,84,39,82,38,52
java.io.InputStream/Template2,123,123,31,69,169,79,424,195,1985
java.io.InputStreamReader/Template1,42,42,12,16,80,37,130,60,70
java.io.InputStreamReader/Template2,345,345,30,62,596,271,495,229,14555
java.io.InputStreamReader/Template3,465,465,13,31,484,218,514,230,16737
java.io.InputStreamReader/Template4,132,132,27,69,169,79,233,107,633
