name,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges,time
0,20,20,6,7,72,32,171,75,134
1,43,43,13,19,131,59,124,55,180
10,80,80,22,36,137,64,229,105,448
1000,59,59,16,25,116,55,151,68,154
1001,22,22,7,9,230,106,109,46,497
1002,25,25,7,11,112,48,146,66,119
1003,100,100,33,59,329,144,267,125,2634
1004,43,43,11,16,181,80,144,65,281
1006,36,36,9,14,122,55,121,55,121
1007,34,34,8,12,107,48,111,49,93
1008,43,43,13,20,162,75,103,45,119
1009,104,104,11,17,124,55,178,80,169
1010,49,49,18,27,185,83,124,56,250
1011,54,54,19,27,209,96,238,108,1192
1012,56,56,18,29,105,44,176,80,181
1013,138,138,49,97,292,125,456,205,5480
1014,148,148,49,105,391,173,528,244,7069
1015,30,30,8,8,84,34,168,75,154
1016,35,35,10,12,104,43,126,55,111
1017,64,64,14,24,305,130,191,85,1351
1018,81,81,24,38,222,101,180,81,715
1019,41,41,17,23,236,102,230,106,800
102,78,78,25,47,291,131,310,135,2556
1020,46,46,12,23,148,65,106,47,143
1021,26,26,11,16,228,104,208,92,741
1022,64,64,18,32,188,85,172,79,436
1023,168,168,57,104,375,172,512,236,9792
1025,48,48,15,19,123,55,171,76,216
1026,83,83,27,53,213,95,294,126,1311
1027,21,21,5,7,105,44,151,69,226
1028,26,26,10,16,157,71,151,70,259
1029,50,50,18,26,198,89,145,68,374
103,51,51,17,30,119,56,125,58,108
1030,59,59,18,39,185,86,122,53,197
1031,44,44,14,19,135,60,136,60,157
1032,46,46,15,19,107,44,86,37,60
1033,49,49,17,24,180,78,183,77,425
1034,64,64,18,24,122,56,127,60,114
1035,92,92,24,34,168,74,228,100,797
1036,31,31,9,13,242,106,62,26,131
1037,62,62,21,37,189,82,193,85,551
1038,29,29,7,17,221,99,210,92,944
1039,111,111,45,81,363,161,214,99,1295
104,65,65,13,21,111,50,164,74,147
1040,52,52,11,19,95,42,79,37,42
1041,60,60,11,21,209,89,133,62,299
1042,171,171,7,7,178,80,178,80,245
1043,55,55,15,25,221,98,124,55,270
1044,33,33,12,17,136,60,122,56,153
1045,55,55,13,26,130,58,85,38,58
1046,64,64,23,37,141,62,186,84,297
1047,64,64,17,35,256,118,129,56,330
1048,27,27,9,18,153,69,148,68,236
1049,60,60,13,18,125,55,164,72,128
105,70,70,17,31,177,81,104,49,186
1050,61,61,18,34,114,53,127,58,101
1051,59,59,20,36,102,42,186,83,160
1052,29,29,9,13,135,62,166,75,193
1053,53,53,15,31,96,45,118,54,76
1054,77,77,24,45,142,66,234,107,423
1055,76,76,16,34,124,57,110,49,84
1056,24,24,10,13,93,42,91,40,42
1057,58,58,17,21,129,55,170,77,219
1058,29,29,9,18,183,81,149,68,362
106,49,49,15,24,142,66,183,83,273
1060,91,91,24,40,250,112,178,80,594
1061,43,43,11,13,233,109,176,76,576
1062,60,60,20,36,174,79,111,47,149
1063,65,65,13,21,86,38,149,69,100
1064,34,34,10,12,134,60,98,41,133
1065,86,86,23,32,170,77,194,88,410
1066,55,55,16,31,136,60,107,49,91
1067,41,41,14,24,117,54,218,97,393
1068,102,102,28,60,250,112,275,125,1666
1069,131,131,40,80,347,158,437,197,5279
107,79,79,27,55,167,76,216,98,402
1070,27,27,11,19,113,51,100,43,74
1072,61,61,14,27,216,98,324,146,1401
1073,39,39,13,16,156,74,258,117,729
1074,48,48,10,12,184,85,91,40,132
1075,58,58,15,15,111,49,161,71,182
1076,47,47,19,31,131,58,236,107,448
1077,25,25,8,8,123,59,132,61,169
1078,19,19,6,7,102,44,177,75,138
1079,110,110,30,67,480,213,449,192,11320
108,102,102,29,63,256,114,172,78,600
1080,46,46,18,28,182,83,238,102,551
1081,52,52,14,27,177,79,254,113,716
1082,102,102,26,46,306,133,384,174,3159
1083,43,43,15,17,162,75,129,55,200
1084,48,48,17,39,88,40,126,60,70
1085,133,133,34,71,466,211,267,125,4021
1086,70,70,24,49,178,82,129,57,262
1087,68,68,18,41,146,63,163,68,197
1088,55,55,17,29,201,88,131,58,251
1089,78,78,23,49,356,160,377,169,4381
109,40,40,16,24,125,54,150,67,159
1090,77,77,23,34,172,77,153,70,213
1091,59,59,17,22,256,116,121,54,360
1092,76,76,20,30,239,106,183,83,424
1093,83,83,23,37,319,144,203,86,1366
1094,40,40,14,20,145,67,263,120,465
1095,41,41,10,16,100,45,161,76,147
1096,37,37,14,20,168,77,123,52,191
1097,74,74,29,49,207,89,328,145,1397
1098,57,57,15,24,104,47,145,68,114
1099,69,69,26,36,138,62,282,128,479
11,41,41,9,11,143,64,221,102,303
110,119,119,27,56,367,166,237,106,1934
1100,55,55,16,26,222,100,145,63,373
1101,37,37,13,23,216,99,239,101,984
1102,75,75,18,32,122,56,167,75,149
1103,102,102,37,63,213,94,323,142,1689
1104,87,87,33,50,321,143,198,90,977
1105,63,63,20,27,162,72,223,103,540
1107,65,65,22,42,156,68,198,84,382
1108,36,36,9,14,136,62,125,56,157
1109,84,84,21,53,252,114,152,71,453
111,37,37,11,19,137,56,166,73,287
1110,59,59,20,30,113,49,213,96,167
1111,55,55,19,29,112,52,97,44,64
1112,60,60,21,39,300,126,219,97,1240
1113,94,94,28,56,246,108,290,131,1281
1114,402,402,19,33,504,225,439,196,13404
1115,18,18,4,4,121,52,82,37,70
1116,30,30,10,12,153,70,119,49,182
1117,84,84,32,63,478,212,390,172,8322
1118,61,61,19,36,119,54,144,67,135
1119,38,38,15,28,203,90,201,95,357
112,64,64,24,49,202,93,238,110,959
1120,54,54,18,27,194,88,250,110,708
1121,42,42,12,16,126,57,113,52,117
1123,41,41,10,15,130,57,163,72,185
1124,53,53,13,28,166,75,150,69,336
1125,85,85,32,61,301,134,312,136,2060
1126,139,139,8,8,147,65,193,85,277
1127,40,40,14,26,174,79,152,73,260
1128,66,66,19,33,161,73,148,68,261
1129,46,46,10,16,102,44,97,45,51
113,34,34,10,18,102,46,144,65,287
1130,33,33,9,14,183,85,276,127,792
1131,84,84,27,43,219,100,257,117,983
1132,62,62,11,21,139,61,174,76,213
1133,63,63,20,46,278,123,263,119,1898
1134,33,33,12,16,128,58,196,88,228
1135,88,88,27,45,158,71,180,77,295
1136,40,40,13,17,168,77,106,44,177
1137,61,61,22,31,228,106,195,88,717
1138,80,80,23,52,360,169,330,149,3213
114,50,50,14,24,128,58,128,57,135
1140,58,58,20,32,183,83,222,97,541
1141,34,34,7,15,125,55,118,52,104
1142,58,58,18,23,222,102,184,82,764
1143,28,28,8,8,105,49,127,57,104
1144,47,47,15,23,115,52,152,70,143
1145,29,29,10,13,190,88,158,70,472
1146,65,65,24,56,187,83,179,82,429
1147,59,59,16,18,89,41,141,65,84
1148,50,50,14,28,137,61,143,65,194
1149,58,58,17,27,171,75,153,69,351
115,80,80,25,47,299,136,199,90,938
1150,56,56,11,24,109,48,97,44,87
1151,67,67,18,18,135,61,119,54,125
1152,47,47,13,25,106,47,105,49,69
1153,98,98,4,4,124,55,170,75,172
1154,41,41,9,17,99,45,137,64,85
1155,87,87,21,48,187,84,254,113,680
1156,68,68,21,33,124,55,166,75,225
1157,34,34,9,9,186,84,128,60,293
1158,29,29,7,14,182,85,258,117,947
1159,56,56,17,30,191,88,228,102,824
116,63,63,21,32,272,121,202,88,1121
1160,48,48,12,23,198,86,100,46,225
1161,57,57,20,26,315,139,140,64,607
1162,57,57,21,31,181,81,287,130,769
1163,92,92,25,50,215,98,184,78,438
1164,23,23,6,11,110,51,199,93,217
1165,51,51,17,26,121,55,111,49,97
1166,54,54,12,14,196,89,124,57,183
1167,64,64,24,31,148,67,183,85,384
1168,105,105,28,48,161,74,257,114,467
1169,23,23,5,6,131,57,119,54,123
117,47,47,15,26,268,114,207,94,897
1170,41,41,11,21,158,73,201,92,399
1171,63,63,15,25,148,66,123,55,162
1172,30,30,9,22,267,125,109,47,294
1173,47,47,9,21,157,73,133,61,172
1174,86,86,26,37,207,92,257,114,1269
1175,60,60,14,32,152,71,109,51,97
1176,66,66,22,39,125,52,163,73,228
1177,37,37,11,19,324,148,212,95,1712
1178,156,156,57,116,535,238,280,128,3605
1179,100,100,37,71,324,146,259,115,2578
118,62,62,21,28,335,150,500,220,10396
1180,20,20,7,9,146,64,176,77,494
1181,51,51,11,15,128,58,108,44,113
1182,83,83,27,43,436,197,293,134,3814
1183,34,34,12,25,128,53,126,58,105
1184,84,84,19,34,155,69,142,63,202
1185,34,34,9,15,103,46,160,71,161
1186,40,40,8,15,104,45,127,57,79
1187,140,140,7,7,147,65,147,65,219
1188,72,72,22,34,206,95,219,100,662
119,257,257,10,10,267,125,267,125,1086
1190,29,29,11,14,146,67,101,47,137
1191,124,124,40,78,353,160,544,247,7660
1192,75,75,21,36,129,60,184,85,262
1193,36,36,13,18,120,53,171,79,219
1194,76,76,17,28,222,104,124,55,319
1195,47,47,17,24,113,52,143,65,131
1196,57,57,14,30,169,74,129,56,264
1197,27,27,6,9,193,85,252,114,675
1198,69,69,25,40,225,101,155,68,540
1199,43,43,16,22,202,90,239,102,778
