directory,template,time0,time1,time2,time3,time4,avg_time,std_dev,key,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges
java.io.BufferedReader,Template1,875,643,652,649,649,693.6,90.74712116645905,java.io.BufferedReader-Template1,242,241,0,0,242,241,242,241
java.io.BufferedReader,Template2,705,682,669,689,744,697.8,25.85652722234755,java.io.BufferedReader-Template2,139,124,31,59,227,226,295,294
java.io.BufferedReader,Template3,679,706,729,665,671,690.0,24.01666088364492,java.io.BufferedReader-Template3,294,293,1,1,295,294,295,294
java.io.BufferedReader,Template4,665,696,659,669,704,678.6,17.939899665271263,java.io.BufferedReader-Template4,239,238,1,1,240,239,240,239
java.io.File,Template10,804,823,1211,1123,789,950.0,179.67526262677342,java.io.File-Template10,521,507,3,29,530,529,530,529
java.io.File,Template11,642,964,684,637,613,708.0,130.02615121582272,java.io.File-Template11,78,77,0,0,78,77,78,77
java.io.File,Template12,733,683,637,654,672,675.8,32.61533381708671,java.io.File-Template12,240,239,0,0,240,239,240,239
java.io.File,Template13,666,670,648,659,669,662.4,8.16333265278342,java.io.File-Template13,56,55,4,4,60,59,60,59
java.io.File,Template14,666,629,638,640,632,641.0,13.114877048604,java.io.File-Template14,110,109,2,2,113,112,111,110
java.io.File,Template15,626,615,617,746,860,692.8,97.00185565235337,java.io.File-Template15,98,97,0,0,98,97,98,97
java.io.File,Template16,1029,818,746,848,901,868.4,94.650092445808,java.io.File-Template16,306,301,7,15,349,348,311,310
java.io.File,Template17,698,705,698,904,853,771.6,88.79774771918487,java.io.File-Template17,75,74,0,0,75,74,75,74
java.io.File,Template18,813,721,748,760,714,751.2,35.221584291454015,java.io.File-Template18,513,512,0,0,513,512,513,512
java.io.File,Template1,695,830,688,695,772,736.0,56.21031933728895,java.io.File-Template1,144,142,5,7,158,157,179,178
java.io.File,Template2,789,793,762,694,784,764.4,36.79456481601596,java.io.File-Template2,400,399,0,0,400,399,400,399
java.io.File,Template3,789,629,640,702,774,706.8,66.04665018000534,java.io.File-Template3,127,126,0,0,127,126,127,126
java.io.File,Template4,848,845,767,635,635,746.0,95.1714242827121,java.io.File-Template4,51,50,2,2,53,52,53,52
java.io.File,Template5,646,630,674,651,636,647.4,15.2,java.io.File-Template5,152,150,5,7,158,157,187,186
java.io.File,Template6,713,772,732,725,684,725.2,28.57551399362748,java.io.File-Template6,339,338,0,0,339,338,339,338
java.io.File,Template7,682,649,710,665,642,669.6,24.46712079505883,java.io.File-Template7,193,189,0,6,193,192,193,192
java.io.File,Template8,707,647,671,647,684,671.2,22.877062748526086,java.io.File-Template8,196,195,0,0,196,195,196,195
java.io.File,Template9,646,618,625,609,621,623.8,12.286578042726134,java.io.File-Template9,51,50,2,2,53,52,53,52
java.io.InputStreamReader,Template1,696,626,634,647,639,648.4,24.759644585494357,java.io.InputStreamReader-Template1,42,39,12,16,80,79,130,129
java.io.InputStreamReader,Template2,763,789,762,797,871,796.4,39.797487357872235,java.io.InputStreamReader-Template2,345,328,30,62,596,595,495,494
java.io.InputStreamReader,Template3,789,737,724,702,705,731.4,31.512537187602017,java.io.InputStreamReader-Template3,465,455,13,31,484,483,514,513
