name,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges,time,nodes,edges,nodes^2,nodes^3,edges^2,nodesXedges
0,35,27,11,22,72,71,171,170,90,243,241,12312,1495908.0,12070,14640.75
1,59,48,18,38,131,130,124,123,124,255,253,16244,2071110.0,15990,16128.75
10,80,72,22,36,137,136,229,228,189,366,364,31373,5741259.0,31008,33306.0
1000,63,55,17,31,116,115,151,150,130,267,265,17516,2338386.0,17250,17688.75
1001,39,30,13,23,230,229,109,108,221,339,337,25070,4249365.0,24732,28560.75
1002,34,29,12,19,112,111,146,145,95,258,256,16352,2109408.0,16095,16512.0
1003,102,86,34,64,329,328,267,266,941,596,594,87843,26177214.0,87248,88506.0
1004,68,58,22,36,181,180,144,143,209,325,323,26064,4235400.0,25740,26243.75
1006,36,32,9,14,122,121,121,120,76,243,241,14762,1793583.0,14520,14640.75
1007,41,35,9,18,107,106,111,110,74,218,216,11877,1294593.0,11660,11772.0
1008,59,43,16,46,162,161,103,102,104,265,263,16686,2210895.0,16422,17423.75
1009,104,100,11,17,124,123,178,177,120,302,300,22072,3332872.0,21771,22650.0
1010,51,46,16,23,185,184,124,123,139,309,307,22940,3544230.0,22632,23715.75
1011,54,48,19,27,209,208,238,237,486,447,445,49742,11117337.0,49296,49728.75
1012,59,52,19,30,105,104,176,175,95,281,279,18480,2596440.0,18200,19599.75
1013,152,125,48,100,292,291,456,455,2229,748,746,133152,49798848.0,132405,139502.0
1014,148,119,49,105,391,390,528,527,2497,919,917,206448,94862856.0,205530,210680.75
1015,49,44,15,23,84,83,168,167,110,252,250,14112,1778112.0,13861,15750.0
1016,35,33,10,12,104,103,126,125,70,230,228,13104,1506960.0,12875,13110.0
1017,81,60,16,55,305,304,191,190,561,496,494,58255,14447240.0,57760,61256.0
1018,81,73,24,38,222,221,180,179,347,402,400,39960,8031960.0,39559,40200.0
1019,44,39,18,24,236,235,230,229,368,466,464,54280,12647240.0,53815,54056.0
102,101,69,31,91,291,290,310,309,925,601,599,90210,27108105.0,89610,89999.75
1020,46,38,12,23,148,147,106,105,75,254,252,15688,1992376.0,15435,16002.0
1021,47,32,16,44,228,227,208,207,553,436,434,47424,10338432.0,46989,47306.0
1022,72,56,20,50,188,187,172,171,195,360,358,32336,5820480.0,31977,32220.0
1023,170,143,57,108,375,374,512,511,3758,887,885,192000,85152000.0,191114,196248.75
1025,48,45,15,19,123,122,171,170,115,294,292,21033,3091851.0,20740,21462.0
1026,85,71,26,52,213,212,294,293,508,507,505,62622,15874677.0,62116,64008.75
1027,61,44,11,39,105,104,151,150,170,256,254,15855,2029440.0,15600,16256.0
1028,39,33,12,20,157,156,151,150,189,308,306,23707,3650878.0,23400,23562.0
1029,52,45,19,31,198,197,145,144,203,343,341,28710,4923765.0,28368,29240.75
103,55,42,17,38,119,118,125,124,80,244,242,14875,1814750.0,14632,14762.0
1030,59,47,18,39,185,184,122,121,114,307,305,22570,3464495.0,22264,23408.75
1031,48,44,13,17,135,134,136,135,94,271,269,18360,2487780.0,18090,18224.75
1032,51,48,15,19,107,106,86,85,39,193,191,9202,887993.0,9010,9215.75
1033,52,47,17,24,180,179,183,182,186,363,361,32940,5978610.0,32578,32760.75
1034,68,63,17,23,122,121,127,126,87,249,247,15494,1929003.0,15246,15375.75
1035,92,86,24,34,168,167,228,227,319,396,394,38304,7584192.0,37909,39006.0
1036,31,28,9,13,242,241,62,61,113,304,302,15004,2280608.0,14701,22952.0
1037,87,57,24,79,189,188,193,192,362,382,380,36477,6967107.0,36096,36290.0
1038,53,26,11,62,221,220,210,209,465,431,429,46410,10001355.0,45980,46224.75
1039,113,91,45,84,363,362,214,213,573,577,575,77682,22411257.0,77106,82943.75
104,65,60,13,21,111,110,164,163,97,275,273,18204,2503050.0,17930,18768.75
1040,52,47,11,19,95,94,79,78,45,174,172,7505,652935.0,7332,7482.0
1041,62,56,11,21,209,208,133,132,170,342,340,27797,4753287.0,27456,29070.0
1042,171,170,7,7,178,177,178,177,168,356,354,31684,5639752.0,31329,31506.0
1043,63,48,15,33,221,220,124,123,171,345,343,27404,4727190.0,27060,29583.75
1044,39,29,12,26,136,135,122,121,101,258,256,16592,2140368.0,16335,16512.0
1045,59,51,11,24,130,129,85,84,48,215,213,11050,1187875.0,10836,11448.75
1046,67,55,25,45,141,140,186,185,182,327,325,26226,4287951.0,25900,26568.75
1047,64,53,17,35,256,255,129,128,174,385,383,33024,6357120.0,32640,36863.75
1048,33,21,8,29,153,152,148,147,147,301,299,22644,3407922.0,22344,22499.75
1049,60,56,13,18,125,124,164,163,98,289,287,20500,2962250.0,20212,20735.75
105,75,67,19,31,177,176,104,103,119,281,279,18408,2586324.0,18128,19599.75
1050,61,52,18,34,114,113,127,126,77,241,239,14478,1744599.0,14238,14399.75
1051,63,53,20,36,102,101,186,185,105,288,286,18972,2731968.0,18685,20592.0
1052,54,51,17,21,135,134,166,165,165,301,299,22410,3372705.0,22110,22499.75
1053,57,46,16,33,96,95,118,117,57,214,212,11328,1212096.0,11115,11342.0
1054,77,63,24,45,142,141,234,233,230,376,374,33228,6246864.0,32853,35156.0
