name,generalization_nodes,generalization_edges,generalization_node_variables,generalization_edge_variables,g1_nodes,g1_edges,g2_nodes,g2_edges,time
1.0.11-all vs 1.0.11,1266,813,0,1373,1266,2205,1266,813,72
1.0.11-all vs 2.0.0-all,1253,2103,23,248,1266,2205,1294,2311,64
1.0.11-all vs 2.0.0,1253,773,23,1448,1266,2205,1294,822,74
1.0.11-all vs 2.10.0-all,1239,2047,56,411,1266,2205,1382,2504,83
1.0.11-all vs 2.10.0,1239,748,44,1512,1266,2205,1382,919,88
1.0.11-all vs 2.14.0,1233,750,51,1510,1266,2205,1410,940,91
1.0.11-all vs 2.22.0-all,664,1040,51,477,1266,2205,872,1630,206
1.0.11-all vs 2.22.0,664,401,48,955,1266,2205,872,632,202
1.0.11-all vs 2.33.0,613,355,46,914,1266,2205,878,634,195
1.0.11-all vs 2.40.0,598,344,48,875,1266,2205,851,581,207
1.0.11-all vs 2.45.0,575,335,50,866,1266,2205,849,583,228
1.0.11-all vs 2.48.0-all,568,852,59,568,1266,2205,858,1597,219
1.0.11-all vs 2.48.0,568,328,53,862,1266,2205,858,582,207
1.0.11-all vs 2.51.0-all,567,852,62,575,1266,2205,860,1601,212
1.0.11-all vs 2.52.0-all,567,852,62,576,1266,2205,861,1604,237
1.0.11-all vs 2.53.1,557,310,53,852,1266,2205,838,557,233
1.0.11-all vs 2.6.0-all,1249,2089,42,329,1266,2205,1358,2460,79
1.0.11-all vs 2.6.0,1249,765,35,1491,1266,2205,1358,911,83
1.0.11-all vs 3.0.0-all,548,798,61,574,1266,2205,847,1573,215
1.0.11-all vs 3.0.0,548,304,55,848,1266,2205,847,570,219
1.0.11-all vs 3.1.0-all,541,790,60,569,1266,2205,828,1545,228
1.0.11-all vs 3.1.0,541,303,57,847,1266,2205,828,562,243
1.0.11-all vs 3.10.0-all,534,758,58,573,1266,2205,871,1664,232
1.0.11-all vs 3.10.0,534,295,56,849,1266,2205,871,585,244
1.0.11-all vs 3.11.0,534,295,56,849,1266,2205,871,586,222
1.0.11-all vs 3.12.0,532,296,56,835,1266,2205,887,602,212
1.0.11-all vs 3.14.0-all,531,729,59,572,1266,2205,891,1716,242
1.0.11-all vs 3.14.0,531,294,56,827,1266,2205,891,604,249
1.0.11-all vs 3.141.0-all,527,725,58,570,1266,2205,901,1764,243
1.0.11-all vs 3.141.0,527,292,56,818,1266,2205,901,614,232
1.0.11-all vs 3.150.0-all,640,788,84,816,1266,2205,1419,2943,394
1.0.11-all vs 3.150.0,640,329,74,1025,1266,2205,1419,844,220
1.0.11-all vs 3.2.0,541,303,55,856,1266,2205,838,575,213
1.0.11-all vs 3.3.0-all,541,787,59,574,1266,2205,840,1576,220
1.0.11-all vs 3.3.0,541,302,56,858,1266,2205,840,575,214
1.0.11-all vs 3.4.0-all,541,786,59,581,1266,2205,858,1618,224
1.0.11-all vs 3.7.0-all,537,761,59,578,1266,2205,879,1671,233
1.0.11-all vs 3.8.0-all,537,759,59,579,1266,2205,874,1660,263
1.0.11-all vs 3.8.0,537,298,56,854,1266,2205,874,591,222
1.0.11-all vs 3.9.0,534,296,56,851,1266,2205,872,591,247
1.0.11-all vs 3.9.1-all,534,755,58,579,1266,2205,872,1664,251
1.0.11-all vs 3.9.1,534,297,56,851,1266,2205,872,592,251
1.0.11-all vs 4.0.0-all,612,765,84,804,1266,2205,1577,3876,816
1.0.11-all vs 4.0.0-alpha-3-all,524,720,64,582,1266,2205,1050,1992,327
1.0.11-all vs 4.0.0-alpha-3,524,289,56,820,1266,2205,1050,655,261
1.0.11-all vs 4.0.0,612,312,77,1005,1266,2205,1577,990,303
1.0.11-all vs 4.1.0-all,612,764,84,804,1266,2205,1580,3917,856
1.0.11-all vs 4.10,254,58,57,474,1266,2205,1136,592,645
1.0.11-all vs 4.2.0-all,604,760,82,782,1266,2205,1574,3899,872
1.0.11-all vs 4.2.0,604,309,76,993,1266,2205,1574,987,306
1.0.11-all vs 4.3.0-all,587,703,80,762,1266,2205,1537,3740,810
1.0.11-all vs 4.3.0,587,292,77,944,1266,2205,1537,925,314
1.0.11-all vs 4.4.0,587,290,76,948,1266,2205,1537,929,308
1.0.11-all vs 4.5.0-all,580,698,81,759,1266,2205,1528,3747,838
1.0.11-all vs 4.5.0,580,287,76,938,1266,2205,1528,919,308
1.0.11-all vs 4.5.1-all,580,700,81,757,1266,2205,1529,3753,794
1.0.11-all vs 4.5.2-all,580,698,80,756,1266,2205,1529,3741,807
1.0.11-all vs 4.5.2,580,287,76,938,1266,2205,1529,916,314
1.0.11-all vs 4.5.3-all,580,700,80,757,1266,2205,1529,3739,864
1.0.11-all vs 4.6.0-all,580,699,81,758,1266,2205,1530,3756,861
1.0.11-all vs 4.6.0,580,288,75,935,1266,2205,1530,920,308
1.0.11-all vs 4.7.1-all,569,689,79,739,1266,2205,1521,3742,783
1.0.11-all vs 4.7.1,569,283,74,921,1266,2205,1521,909,319
1.0.11-all vs 4.7.2-all,569,687,79,742,1266,2205,1521,3718,817
1.0.11-all vs 4.8.1-all,569,688,80,741,1266,2205,1521,3740,791
